100,2.0246505737304688
200,21.544933319091797
300,32.87553787231445
400,15.673160552978516
500,16.88361167907715
600,48.42233657836914
700,66.68448448181152
800,78.21536064147949
900,144.0112590789795
1000,221.73213958740234
2000,672.1813678741455
3000,1306.7519664764404
4000,2528.585433959961
5000,3405.8241844177246
6000,4713.645935058594
7000,6425.588369369507
8000,8305.190563201904
9000,10584.052562713623
10000,13256.776809692383
20000,86785.78734397888
30000,151925.93693733215
40000,301700.7324695587
50000,385724.7769832611
60000,708515.0768756866
70000,747992.2926425934
80000,861416.01729393
90000,1093711.2927436829
100000,1477212.780714035